0.005, -0.011, 0.1
0.01, -0.023, 0.199
0.014, -0.034, 0.298
0.019, -0.046, 0.398
0.023, -0.058, 0.497
0.028, -0.069, 0.596
0.033, -0.081, 0.696
0.037, -0.092, 0.795
0.042, -0.104, 0.894
0.046, -0.116, 0.993
0.051, -0.127, 1.093
0.056, -0.139, 1.192
0.06, -0.15, 1.291
0.065, -0.162, 1.391
0.069, -0.174, 1.49
-0.019, 0.01, 0.098
-0.038, 0.02, 0.196
-0.057, 0.029, 0.294
-0.077, 0.039, 0.391
-0.096, 0.048, 0.489
-0.115, 0.058, 0.587
-0.135, 0.068, 0.684
-0.154, 0.077, 0.782
-0.173, 0.087, 0.88
-0.193, 0.096, 0.977
-0.212, 0.106, 1.075
-0.231, 0.116, 1.173
-0.25, 0.125, 1.271
-0.27, 0.135, 1.368
-0.289, 0.145, 1.466
0.027, 0.008, 0.097
0.054, 0.016, 0.193
0.08, 0.024, 0.289
0.107, 0.032, 0.385
0.133, 0.039, 0.481
0.16, 0.047, 0.577
0.187, 0.055, 0.673
0.213, 0.063, 0.769
0.24, 0.071, 0.865
0.266, 0.078, 0.961
0.293, 0.086, 1.058
0.32, 0.094, 1.154
0.346, 0.102, 1.25
0.373, 0.11, 1.346
0.399, 0.117, 1.442
-0.016, -0.027, 0.095
-0.033, -0.055, 0.19
-0.05, -0.083, 0.284
-0.067, -0.111, 0.379
-0.084, -0.139, 0.473
-0.101, -0.166, 0.568
-0.118, -0.194, 0.663
-0.135, -0.222, 0.757
-0.152, -0.25, 0.852
-0.169, -0.278, 0.946
-0.185, -0.305, 1.041
-0.202, -0.333, 1.136
-0.219, -0.361, 1.23
-0.236, -0.389, 1.325
-0.253, -0.417, 1.419
-0.007, 0.037, 0.094
-0.014, 0.073, 0.187
-0.021, 0.109, 0.28
-0.028, 0.145, 0.373
-0.035, 0.181, 0.465
-0.042, 0.218, 0.559
-0.049, 0.254, 0.652
-0.056, 0.29, 0.745
-0.063, 0.326, 0.838
